dataset,scheme,channel,stratum,vcod_center,wz_center,n,channel_rms,N_bar,mu_bar,wz_bar,A_dF_dmu,abs_A,B_intercept,C_a,C_b,R2_form,R2_form_a,R2_form_b,partial_R2_chi_a,partial_R2_chi_b,chi_swing_a,chi_swing_b
full,unbinned,Fpar,gross,0.01874999999999999,,64092491,22.46554432234425,86.64108443519844,0.4876953588837716,3.6199424616847913,-12.647076470859554,12.647076470859554,5.910762450850055,0.07723182712378036,-0.002708629006181748,0.04369257136853821,0.04820408125298836,0.044577874253030725,0.004717635510691782,0.0009257513410299393,5.221421993326168,0.6628933728783121
full,unbinned,Fpar,gross,0.056249999999999994,,147174140,25.439125950989986,87.15368365245803,0.5081609099261346,2.1152077866045444,-7.837840968704486,7.837840968704486,-3.0303945707485385,0.03692954461796253,-0.00646934411200381,0.030303201268244928,0.03104382994312882,0.033643061141866326,0.0007637734556332972,0.0034442311019171235,2.6168626996783355,0.9696617701460459
full,unbinned,Fpar,gross,0.09375,,60544414,29.97753464035811,87.72359076004189,0.5865098966850871,2.349154786194435,-13.020889943850412,13.020889943850412,-14.352723462275678,0.007169248095254927,-0.004590544633915268,0.18046796263363585,0.18056299785154983,0.18528494310332155,0.0001159627855664659,0.005877720760210288,0.5901811539432504,0.8877436519491181
full,unbinned,Fpar,gross,0.13124999999999998,,6575499,35.286414707234734,85.65163309438744,0.5759221163291169,5.254209394830271,-42.9990926841741,42.9990926841741,96.01998689568222,0.0339377693447567,0.006422015410074798,0.8433785775433214,0.8471903846250781,0.8640430925313227,0.02433771205730882,0.13193926261087968,2.678568028342625,2.6631651990746374
full,unbinned,Fpar,gross,0.16874999999999998,,3110031,35.227386885927416,85.42852762957689,0.5393768422244014,6.354086236239429,-53.891238468183495,53.891238468183495,-10.38150692110682,0.05169166113884085,0.007470529050160891,0.958713030543421,0.9675365950746585,0.984316960891474,0.21371305880217456,0.6201455491902915,3.810971395320351,3.49961012158833
full,unbinned,Fpar,gross,0.20625000000000002,,2938612,34.99777747159996,87.77021900883825,0.524898965906352,6.4698754991596,-56.43500533766435,56.43500533766435,-23.516164411156538,0.04671649997663031,0.0063112164877720135,0.9658013629337725,0.9740959154418554,0.9882045557675753,0.24254044077897163,0.6550902245144392,3.4436038098221675,3.00989872530514
full,unbinned,Fpar,gross,0.24375000000000002,,2324037,36.057092587313434,88.337860071459,0.5318914027616601,6.481266695890849,-58.26002718163783,58.26002718163783,-4.2119098937079755,0.03962208308333431,0.0056456927616351646,0.9715431787788109,0.9779349004460022,0.9898631813015639,0.2246112317855071,0.6437824653834443,2.9787025153910567,2.7508503226257934
full,unbinned,Fpar,gross,0.28125,,20557078,34.35212088255885,83.40711929278804,0.5362396834803024,6.588657325756455,-57.02665452827878,57.02665452827878,-0.1111974393972866,0.021038569975054457,0.0032529625719766083,0.9820924059022155,0.9843049016025901,0.9899956173701239,0.1235506952130647,0.4413329576688483,1.505560705502135,1.5337622397826949
full,unbinned,Fperp,trans,-0.01874999999999999,,145893906,11.63527195130599,87.77144435759976,0.5018197915682723,1.6955883383312385,10.675546596544322,10.675546596544322,-3.0441233578534552,-0.04845488665356634,0.009665203061520826,0.6329183730315218,0.6408660526327534,0.6451362511044816,0.021650987184695738,0.033283818026689484,3.4147474979816765,1.1549213697420355
full,unbinned,Fperp,trans,0.01874999999999999,,163143960,12.564976359302527,87.788450630049,0.5069951158473877,1.9197072917539815,-12.815907633951262,12.815907633951262,3.2530292364542377,0.05273608354454948,-0.008383715183616872,0.666408619884109,0.6753953657182452,0.6767002877915285,0.026939382639365985,0.0308511206250115,3.755510808059299,1.1461268131471352
full,unbinned,Fperp,gross,-0.28125,,16695253,30.783367969414318,80.34731206661485,0.5215930779844962,6.720647402338934,53.392705062634185,53.392705062634185,0.026439827025541564,-0.024233693510487254,-0.002154237865894914,0.9870214685769175,0.9901020736639192,0.9908639284247792,0.23736160791835512,0.2960627610784832,1.6249603386925142,0.9707958712233716
